Squad,Season,League,Pts,GD,PtsPerc,GDPerc,UEFAScore,Transfers,CSI
Valencia,20-21,LaLiga,43,-3,33.6,56.2,0,0.05,31.43
Athletic Club,19-20,LaLiga,51,3,56.7,64.3,0,0.0,42.35
Athletic Club,22-23,LaLiga,51,4,56.7,66.3,0,0.0,43.05
Rayo Vallecano,24-25,LaLiga,52,-4,59.2,54.2,0,0.0,39.69
Athletic Club,21-22,LaLiga,55,7,65.3,69.8,0,0.0,47.285
Athletic Club,16-17,LaLiga,63,10,77.3,73.3,15,0.0,57.21
Real Betis,20-21,LaLiga,61,0,74.8,62.3,0,0.0,47.985
Real Madrid,20-21,LaLiga,84,39,92.9,90.4,80,0.0,88.155
Levante,20-21,LaLiga,41,-11,21.6,31.6,0,0.0,18.62
Sevilla,25-26,LaLiga,43,-14,33.6,25.1,0,0.25,20.545
Real Sociedad,21-22,LaLiga,62,3,76.3,64.3,25,2.5,56.71
Osasuna,22-23,LaLiga,53,-5,60.8,52.2,0,2.0,39.55
Getafe,25-26,LaLiga,51,-6,56.7,47.7,0,1.8,36.54
Real Betis,21-22,LaLiga,65,22,78.8,81.9,25,4.21,63.745
Celta Vigo,20-21,LaLiga,53,-2,60.8,58.2,0,3.0,41.65
Mallorca,24-25,LaLiga,48,-9,48.7,40.2,0,2.35,31.115
Sevilla,24-25,LaLiga,41,-13,21.6,27.6,0,0.9,17.22
Villarreal,22-23,LaLiga,64,19,77.8,78.8,10,6.48,57.81
Valencia,24-25,LaLiga,46,-10,41.7,37.1,0,2.87,27.58
Rayo Vallecano,25-26,LaLiga,50,-3,54.2,56.2,35,7.1,49.14
Celta Vigo,19-20,LaLiga,37,-12,13,28.6,0,1.4,14.56
Alaves,16-17,LaLiga,55,-2,65.3,58.2,0,6.33,43.225
Real Sociedad,20-21,LaLiga,62,21,76.3,81.4,15,10.0,59.695
Eibar,16-17,LaLiga,54,5,63.8,67.3,0,8.6,45.885
Villarreal,23-24,LaLiga,53,0,60.8,62.3,35,11.0,53.585
Osasuna,24-25,LaLiga,52,-4,59.2,54.2,0,8.05,39.69
Real Madrid,19-20,LaLiga,87,45,95.9,93.9,60,18.45,84.43
Athletic Club,23-24,LaLiga,68,24,79.8,83.9,0,12.5,57.295
Eibar,18-19,LaLiga,47,-4,47.2,54.2,0,8.0,35.49
Alaves,17-18,LaLiga,47,-10,47.2,37.1,0,6.55,29.505
Rayo Vallecano,21-22,LaLiga,42,-11,26.6,31.6,0,4.3,20.37
Athletic Club,24-25,LaLiga,70,25,81.4,84.9,45,18.0,71.705
Celta Vigo,24-25,LaLiga,55,2,65.3,63.8,0,11.2,45.185
Celta Vigo,16-17,LaLiga,45,-16,39.6,21.1,45,8.4,34.745
Levante,21-22,LaLiga,35,-25,10.5,8.5,0,0.88,6.65
Celta Vigo,25-26,LaLiga,54,5,63.8,67.3,35,15.0,56.385
Celta Vigo,17-18,LaLiga,49,-1,49.7,60.3,0,10.0,38.5
Girona,17-18,LaLiga,51,-9,56.7,40.2,0,8.75,33.915
Getafe,17-18,LaLiga,55,9,65.3,72.8,0,12.9,48.335
Celta Vigo,21-22,LaLiga,46,0,41.7,62.3,0,10.02,36.4
Real Sociedad,24-25,LaLiga,46,-11,41.7,31.6,25,9.2,33.155
Eibar,17-18,LaLiga,51,-6,56.7,47.7,0,10.25,36.54
Real Madrid,16-17,LaLiga,93,65,98.4,98.9,100,30.0,99.055
Barcelona,25-26,LaLiga,94,59,99.4,97.4,70,27.5,89.88
Athletic Club,20-21,LaLiga,46,4,41.7,66.3,0,11.13,37.8
Osasuna,23-24,LaLiga,45,-11,39.6,31.6,0,7.0,24.92
Real Sociedad,18-19,LaLiga,50,-1,54.2,60.3,0,12.0,40.075
Real Madrid,21-22,LaLiga,86,49,94.4,95.4,100,31.0,96.43
Osasuna,19-20,LaLiga,52,-8,59.2,43.2,0,11.24,35.84
Levante,25-26,LaLiga,42,-14,26.6,25.1,0,5.2,18.095
Alaves,18-19,LaLiga,50,-11,54.2,31.6,0,10.0,30.03
Espanyol,21-22,LaLiga,42,-13,26.6,27.6,0,6.0,18.97
Leganes,24-25,LaLiga,40,-17,19.5,18.5,0,3.93,13.3
Las Palmas,16-17,LaLiga,39,-21,16.5,13,0,2.9,10.325
Osasuna,21-22,LaLiga,47,-14,47.2,25.1,0,8.7,25.305
Real Betis,23-24,LaLiga,57,3,68.8,64.3,25,20.4,54.085
Atletico Madrid,22-23,LaLiga,77,37,88.9,89.4,45,29.5,75.905
Atletico Madrid,23-24,LaLiga,76,27,86.9,86.9,70,32.0,81.83
Osasuna,20-21,LaLiga,44,-11,37.6,31.6,0,9.15,24.22
Espanyol,16-17,LaLiga,56,-1,67.3,60.3,0,18.4,44.66
Mallorca,25-26,LaLiga,42,-10,26.6,37.1,0,8.8,22.295
Real Sociedad,16-17,LaLiga,64,6,77.8,68.8,0,21.63,51.31
Real Madrid,17-18,LaLiga,76,50,86.9,95.9,100,40.5,93.98
