Squad,Season,League,Pts,GD,Pts_P,GD_P,UEFA,Cup,Transfers,CSI
Barcelona,22-23,LaLiga,88,50,96.9,95.9,45.0,75.0,159.0,81.41
Atletico Madrid,17-18,LaLiga,79,36,90.9,88.9,65.0,60.0,95.6,80.685
Real Madrid,19-20,LaLiga,87,45,95.9,93.9,60.0,60.0,18.45,82.685
Atletico Madrid,20-21,LaLiga,86,42,94.4,92.4,60.0,15.0,92.0,77.21000000000001
Real Madrid,23-24,LaLiga,95,61,100.0,97.9,100.0,45.0,161.5,93.81750000000001
Atletico Madrid,16-17,LaLiga,78,43,89.9,93.4,80.0,75.0,78.8,87.0725
Atletico Madrid,19-20,LaLiga,70,24,81.4,83.9,70.0,30.0,304.0,74.2225
Real Madrid,20-21,LaLiga,84,39,92.9,90.4,80.0,30.0,0.0,82.5725
Barcelona,17-18,LaLiga,93,70,98.4,99.4,70.0,100.0,388.1,91.78500000000001
Atletico Madrid,18-19,LaLiga,76,26,86.9,85.4,60.0,45.0,168.0,75.4975
Athletic Club,24-25,LaLiga,70,25,81.4,84.9,45.0,45.0,18.0,69.79750000000001
Atletico Madrid,24-25,LaLiga,76,38,86.9,89.9,70.0,75.0,188.0,82.46000000000001
Sevilla,21-22,LaLiga,70,23,81.4,82.9,25.0,45.0,41.5,64.14750000000001
Real Madrid,21-22,LaLiga,86,49,94.4,95.4,100.0,60.0,31.0,92.685
Sevilla,20-21,LaLiga,77,20,88.9,79.3,60.0,75.0,74.35,77.16499999999999
Atletico Madrid,22-23,LaLiga,77,37,88.9,89.4,45.0,60.0,29.5,75.1975
Villarreal,16-17,LaLiga,67,23,79.3,82.9,15.0,45.0,55.95,60.964999999999996
Getafe,17-18,LaLiga,55,9,65.3,72.8,0.0,30.0,12.9,47.8825
Sevilla,19-20,LaLiga,70,20,81.4,79.3,65.0,45.0,247.35,72.97749999999999
Real Madrid,25-26,LaLiga,86,42,94.4,92.4,70.0,45.0,167.5,82.71000000000001
Valencia,18-19,LaLiga,61,16,74.8,76.3,45.0,100.0,129.2,70.3575
Real Sociedad,22-23,LaLiga,71,16,83.9,76.3,25.0,60.0,55.0,64.315
Getafe,18-19,LaLiga,59,13,70.3,74.8,0.0,60.0,27.25,53.1575
Barcelona,18-19,LaLiga,87,54,95.9,96.9,80.0,90.0,141.1,91.66
Barcelona,25-26,LaLiga,94,59,99.4,97.4,70.0,75.0,27.5,88.96000000000001
Real Madrid,22-23,LaLiga,78,39,89.9,90.4,80.0,100.0,80.0,88.5975
